date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:09	74176/74176	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:08%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&sacu=1&rip=1	C:/My%20Web%20Sites/Sina/accounts.google.com/ServiceLoginfb7b.html	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&dsh=3093702741157982834)
12:14:10	371194/371194	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:09%20GMT	https://accounts.google.com/SignUpWithoutGmail?hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/SignUpWithoutGmail5083.html	(from https://accounts.google.com/SignUpWithoutGmail?dsh=3093702741157982834&continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.36dc1f.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=3093702741157982834&continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.378529.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=3093702741157982834&continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.38dc1f.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=3093702741157982834&continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.398529.delayed	(from https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.3adc1f.delayed	(from https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:10	372196/372196	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:09%20GMT	https://accounts.google.com/SignUp?dsh=3093702741157982834&continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour	C:/My%20Web%20Sites/Sina/accounts.google.com/SignUp7c98.html	(from https://accounts.google.com/SignUpWithoutGmail?dsh=3093702741157982834&continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:11	48472/48472	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:10%20GMT	https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/signin/usernamerecoverybb84.html	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-2458469426294305829)
12:14:11	311/311	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2023%20Oct%202020%2010:14:11%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-2458469426294305829	C:/My%20Web%20Sites/Sina/accounts.google.com/AccountChooser.3cfec7.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-2458469426294305829)
